City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,kampli,15.4,76.6167,32.74,17,2,0.78,IN,1682260732
333,taroa,8.7058,171.2275,27.45,81,67,8.34,MH,1682260733
334,barentu,15.1139,37.5928,34.93,10,100,5.54,ER,1682260733
335,broome,42.2506,-75.833,13.34,74,75,3.13,US,1682260734
336,sao joao da barra,-21.6403,-41.0511,25.05,62,5,3.94,BR,1682260734
337,whakatane,-37.9585,176.9854,14.87,99,24,0.45,NZ,1682260734
338,necochea,-38.5473,-58.7368,17.19,58,0,1.73,AR,1682260734
339,buka,40.8108,69.1986,21.13,30,82,3.58,UZ,1682260735
340,nalgonda,17.05,79.2667,28.18,61,48,6.57,IN,1682260735
341,hovd,48.0056,91.6419,3.34,39,27,1.59,MN,1682260735
342,huichapan,20.3833,-99.65,21.85,34,100,2.57,MX,1682260735
343,hengchun,22.0042,120.7439,23.89,84,98,4.96,TW,1682260735
344,woodstock,43.1334,-80.7497,6.12,78,81,3.13,CA,1682260735
345,al jawf,29.5,38.75,31.29,14,50,2.95,SA,1682260736
346,kudymkar,59.0173,54.656,7.3,69,97,4.05,RU,1682260736
347,ekibastuz,51.6667,75.3667,11.55,50,100,5.36,KZ,1682260736
348,weno,7.4515,151.8468,27.97,89,75,1.54,FM,1682260736
349,drayton valley,53.2168,-114.9854,2.73,68,100,3.58,CA,1682260737
350,poland,44.0606,-70.3937,11.68,52,100,7.2,US,1682260737
351,smithers,54.7804,-127.1743,4.18,93,100,1.54,CA,1682260737
352,atar,20.5169,-13.0499,35.14,10,0,3.37,MR,1682260738
353,ilheus,-14.7889,-39.0494,27.19,73,79,4.41,BR,1682260738
354,awjilah,29.1081,21.2869,33.55,12,5,5.9,LY,1682260738
355,puerto deseado,-47.7503,-65.8938,14.49,41,100,4.38,AR,1682260738
356,plettenberg bay,-34.0527,23.3716,20.85,66,88,1.65,ZA,1682260739
357,puerto aysen,-45.4,-72.7,10.88,87,100,1.13,CL,1682260739
358,polyarnyy,69.1989,33.4478,-1.08,78,74,11.93,RU,1682260739
359,hwange,-18.3693,26.5019,34.22,23,100,2.87,ZW,1682260740
360,kuching,1.55,110.3333,27.12,89,40,2.06,MY,1682260051
361,pico truncado,-46.7949,-67.9573,12.09,49,100,7.01,AR,1682260740
362,san jose del guaviare,2.5729,-72.6459,22.57,97,100,2.47,CO,1682260740
363,orlovskiy,46.8714,42.0592,13.75,66,58,2.38,RU,1682260740
364,luanda,-8.8368,13.2343,30.0,66,40,5.66,AO,1682260741
365,freetown,8.484,-13.2299,28.84,70,40,5.66,SL,1682260741
366,san ramon,37.7799,-121.978,13.55,92,100,4.12,US,1682260741
367,port augusta,-32.5,137.7667,17.49,47,0,1.99,AU,1682260741
368,kuantan,3.8077,103.326,28.06,89,20,0.0,MY,1682259921
369,berezovyy,51.6667,135.7,-1.25,95,97,1.93,RU,1682260742
370,noumea,-22.2763,166.4572,26.67,99,83,0.7,NC,1682260742
371,irtyshsk,53.3333,75.4572,13.25,42,100,7.32,KZ,1682260743
372,suntar,62.1444,117.6319,-9.28,98,69,1.07,RU,1682260743
373,bathsheba,13.2167,-59.5167,29.34,79,40,4.12,BB,1682260743
374,vilyuysk,63.7553,121.6247,-11.63,98,50,2.13,RU,1682260743
375,yacuiba,-22.038,-63.6797,18.31,90,98,0.11,BO,1682260744
376,mabaruma,8.2,-59.7833,28.01,69,100,2.34,GY,1682260744
377,karliova,39.2983,41.0142,8.1,83,100,1.18,TR,1682260744
378,bargaal,11.2864,51.0773,27.99,67,28,3.14,SO,1682260745
379,revda,56.801,59.9303,8.66,61,45,2.68,RU,1682260745
380,moscow,55.7522,37.6156,19.29,31,68,4.2,RU,1682260282
381,ketchikan,55.3422,-131.6461,7.99,87,100,2.06,US,1682260745
382,saharsa,25.8833,86.6,27.08,42,57,2.8,IN,1682260655
383,qingguang,39.195,117.0267,10.97,33,100,2.09,CN,1682260745
384,manado,1.487,124.8455,24.43,100,40,1.54,ID,1682260745
385,kasempa,-13.4584,25.8338,25.83,63,86,1.93,ZM,1682260746
386,ukiah,39.1502,-123.2078,14.69,88,0,3.6,US,1682260746
387,mishelevka,52.8575,103.1719,1.41,68,29,0.83,RU,1682260746
388,bomadi,5.1593,5.9252,30.76,66,90,2.67,NG,1682260746
389,cedeira,43.6797,-8.0209,14.66,83,31,7.07,ES,1682260747
390,tura,25.5198,90.2201,20.33,72,72,1.97,IN,1682260747
391,lokhvytsya,50.3678,33.2602,16.21,45,90,1.46,UA,1682260747
392,vadso,70.0744,29.7487,0.09,69,75,14.4,NO,1682260747
393,quellon,-43.1167,-73.6167,10.14,100,20,0.0,CL,1682260748
